country,wbcode,code,grow6096,lngdp60,grow8096,lngdp80,pop6096,pop8096,lngdp75wb,lngdp80wb,grow7596wb,grow8096wb,pop7596wb,pop8096wb
Afghanistan,AFG,,,,,,,,,,,,17150080.91,17811248.82
Albania,ALB,ALB,,,,,3226.167,3226.167,,,,,2932363.636,3056823.529
Algeria,DZA,DZA,.0110344,8.0365734,-.014563,8.6668196,18390.73,23716,8.4755726,8.6196251,-.00051028316,-.0096730106,22200674.09,23717159.41
American Samoa,ASM,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,
Angola,AGO,AGO,-.0151364,7.802618,-.019255299,7.565794,7134.2969,8899.9414,,,,,8345406.818,8899134.118000001
Antigua and Barbuda,ATG,ATG,,,.0284063,9.0953779,63.099998,63.41177,,8.4574709,,.040624354,62909.54545,63190
Argentina,ARG,ARG,.0101678,8.9217243,-.00013869999,9.2899828,27497.35,31641.061,9.3250628,9.3898478,.00053946371,-.003341048,30555478.73,31641146
Armenia,ARM,ARM,,,,,3740,3740,,,,,3346063.636,3466000
Aruba,ABW,,,,,,,,,,,,,
Australia,AUS,AUS,.021773901,9.2576056,.018480301,9.7457809,14331.41,16518.881,9.6609402,9.7404528,.01581471,.015787303,15991454.55,16518941.18
Austria,AUT,AUT,.0289209,8.9143572,.017905001,9.6690302,7537.3779,7723.5879,9.6766224,9.8220749,.016996551,.013217214,7685018.182,7723552.941
Azerbaijan,AZE,AZE,,,,,7681.667,7681.667,,,,,6727685.455,6976411.765
"Bahamas, The",BHS,BHS,,,,,284,284,9.2889462,9.6912727,.014694524,-.0058588106,234695,245722.9412
Bahrain,BHR,BHR,,,,,599,599,,9.7519283,,-.013356971,426969.5455,467372.3529
Bangladesh,BGD,BGD,.0110399,6.9884129,.0271299,6.9517722,84259.727,104954.2,6.8227067,6.8793139,.016946211,.018703938,99412852.36,104954126.1
Barbados,BRB,BRB,.0267848,8.6064854,.0064017,9.4683104,247.3784,256.64709,9.2317209,9.443037,.010055768,-9.0592102e-06,254361.8182,256615.2941
Belarus,BLR,BLR,,,,,10312.14,10312.14,,,,,9934263.182,10070811.18
Belgium,BEL,BEL,.026759701,9.0146904,.0145161,9.7457809,9748.5947,9953.4121,9.7499714,9.8875341,.013667489,.0093408702,9922718.182,9953223.528999999
Belize,BLZ,BLZ,,,.0062556998,8.6597338,181.35291,181.35291,8.0951376,8.2011881,.017378813,.016181538,170834.0909,181358.2353
Benin,BEN,BEN,.0010773001,7.0370278,-.0039411001,7.1388669,3494.73,4484.8818,6.7125812,6.7570963,.0022189075,.00013012387,4191320,4484914.118
Bermuda,BMU,BMU,,,,,62,62,,,,,,
Bhutan,BTN,BTN,,,,,716,716,,6.5755744,,.03303073,556097.2727,585202.9412
Bolivia,BOL,BOL,.0035224999,7.7939992,-.0077987001,8.0455875,5199.729,6359.2939,7.795145,7.816968,-.0044477656,-.0072016129,6050251.364,6359337.647
Bosnia and Herzegovina,BIH,,,,,,,,,,,,4106422.5,4129740.294
Botswana,BWA,BWA,.047388401,6.937314,.0291113,8.177516,900.13507,1198.647,7.5500226,8.0534658,.055280931,.04109101,1111485.455,1198534.118
Brazil,BRA,BRA,.029370399,7.7997532,.0042046998,8.7898121,116885.8,142448.91,8.6399841,8.8442583,.0086736437,-.0013829448,135869208.4,142448456.9
Brunei,BRN,,,,,,,,,,,,228620.9091,244732.9412
Bulgaria,BGR,BGR,,,,,8472.5,8472.5,,8.5173655,,.0016343953,8757818.182,8749882.353
Burkina Faso,BFA,BFA,.0069888001,6.6631331,.0092117004,6.767343,6948.5142,8514.7646,6.5854263,6.6539555,.0080567226,.0062913564,8054877.273,8514750
Burundi,BDI,BDI,.0045711002,6.3750248,-.0162865,6.8001699,4242.541,5181.4121,6.5403581,6.5851212,-.0087255947,-.014250048,4876286.364,5181460
Cambodia,KHM,KHM,,,,,10519.5,10519.5,,,,,8285816.364,8696870.588
Cameroon,CMR,CMR,.0023969,7.4564552,-.0076588001,7.6652851,8623.2432,10942.94,7.4146438,7.6300621,-.0059541934,-.02127851,10265446.82,10942969.41
Canada,CAN,CAN,.022142399,9.249465,.0129443,9.8394823,23897.65,27075.119,9.807416,9.9206285,.012062549,.0087562911,26323300,27075094.12
Cape Verde,CPV,CPV,.030438701,7.1724248,.026180901,7.8493242,288.51349,332,,,,,320583.6364,331988.8235
Cayman Islands,CYM,,,,,,,,,,,,,
Central African Republic,CAF,CAF,-.0252473,7.7376161,-.047222,7.5842652,2296.1621,2816.177,7.3707972,7.256659,-.019495135,-.018453723,2666122.273,2816189.412
Chad,TCD,TCD,-.0081367996,7.1996779,-.035925101,7.4815559,4528.8379,5558.1182,6.9243169,6.5463753,-.010882852,.0093375975,5247995.455,5558114.706
Channel Islands,CHI,,,,,,,,,,,,136416.3636,138656.4706
Chile,CHL,CHL,.023331201,8.2855129,.0307649,8.6331968,10899.97,12712.47,8.2029667,8.454545,.0380258,.034185208,12245735.91,12712506.47
China,CHN,CHN,.040734701,6.5308781,.062712103,6.9939332,942531.81,1100276,6.5079226,6.684526,.069458842,.080127038,1064788631,1100567349
Colombia,COL,COL,.0229013,7.8332038,.0169816,8.3859453,27513.461,33718.82,8.3669643,8.4748507,.016101163,.014389879,32099481.73,33718788.12
Comoros,COM,COM,-.0073150001,7.8087292,-.0257586,7.9575281,330.72971,413.52939,,7.5419106,,-.013388598,413592.9412,413592.9412
"Congo, Dem. Rep.",ZAR,ZAR,-.031826202,6.8394771,-.057812899,6.6187391,27203.221,35402.941,7.7870231,7.5644646,-.047451779,-.048370551,32967577.36,35402998.94
"Congo, Rep.",COG,COG,.0151116,6.8669329,.0052804002,7.3264661,1657.865,2116.7061,6.3915124,6.5213742,.028014462,.028652621,1984095.455,2116667.647
Costa Rica,CRI,CRI,.0102058,8.2027559,-.0054135001,8.6567812,2220.8379,2849.2351,8.6887331,8.7836647,.0056518265,.0014848178,2676180,2849231.765
Cote d'Ivoire,CIV,CIV,.0022503999,7.4627891,-.024954399,7.9430728,8048.2969,10968.29,7.7008457,7.7033343,-.016677212,-.022044381,10238290.36,11098946.35
Croatia,HRV,HRV,,,,,4581.5,4581.5,,,,,4659351.818,4693658.824
Cuba,CUB,CUB,,,,,10674.58,10674.58,,,,,10192681.82,10388882.35
Cyprus,CYP,CYP,.046201099,8.0359268,.043290999,9.0065088,632.2973,671.94122,8.6041641,9.1353455,.054068699,.037766311,657924.5455,671941.1764999999
Czech Republic,CZE,CZE,,,,,10329,10329,,,,,10281772.73,10321176.47
Denmark,DNK,DNK,.0240141,9.2345448,.0206115,9.7692699,5009.459,5150.7061,,,,,5136545.455,5150705.882
Djibouti,DJI,DJI,,,,,612,612,,,,,406722.7273,457778.8235
Dominica,DMA,DMA,,,.0270028,8.4996405,72.949997,73.058823,,7.863677,,.041052796,72765.45454999999,73067.05882000001
Dominican Republic,DOM,DOM,.0254525,7.4012308,.0099916002,8.1576567,5496.3521,6820.1182,8.1261129,8.2540369,.013656501,.0099289073,6475956.364,6820206.471
Ecuador,ECU,ECU,.0154066,7.6764741,-.0129941,8.4390154,7726.6479,9807.6475,7.9319572,8.1119003,.0071482831,-.0018643027,9242347.727,9807716.471000001
"Egypt, Arab Rep.",EGY,EGY,.024485201,7.3821239,.014696,8.0284548,40622.301,50061.531,7.3876557,7.7591977,.029378343,.0153377,47322246.36,50061508.24
El Salvador,SLV,SLV,.0081061004,8.1426449,.0061595002,8.3359108,4229.4331,5052.8242,8.4459524,8.3190231,-.0071891276,-.0015026629,4886575.909,5052290.588
Equatorial Guinea,GNQ,GNQ,-.0099942004,8.0013552,-.0048201,7.7186861,288.91891,328.82349,,,,,302360,328827.0588
Eritrea,ERI,ERI,,,,,3670,3670,,,,,2833803.533,3149143
Estonia,EST,EST,,,,,1502.6,1502.6,,,,,1509203.182,1526170
Ethiopia,ETH,ETH,.0030059,6.3279371,-.0072722998,6.5525079,37604.949,47790.879,,,,,44836795.27,47790969.88
Faeroe Islands,FRO,,,,,,,,,,,,,
Fiji,FJI,FJI,.0191091,7.897296,.0075631998,8.4642143,605.75677,716.35303,8.3021212,8.3918123,.0077296356,.0045394599,689306.3636,716337.6470999999
Finland,FIN,FIN,.0271747,8.9215908,.015729601,9.6482077,4773.2432,4955.353,9.5775928,9.6855125,.014599438,.01241675,4906136.364,4955352.941
France,FRA,FRA,.026314801,8.9918108,.0141988,9.7119637,52992.301,56117.879,9.6631289,9.7689972,.01374275,.011420586,55383095.45,56040770.59
